"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0051028";"GO:0051028";"mRNA transport";"7/7";"131/18888";0,0534351145038168;144,18320610687;31,6638744919325;6,56567981487837e-16;3,54546710003432e-14;1,17491112476771e-14;"NUP107/NUP85/NUP133/NUP205/NUP93/NUP160/NUP37";7
"GO:0050657";"GO:0050657";"nucleic acid transport";"7/7";"161/18888";0,0434782608695652;117,316770186335;28,5390282442605;2,86772242081751e-15;4,41632878760816e-14;1,46350076782337e-14;"NUP107/NUP85/NUP133/NUP205/NUP93/NUP160/NUP37";7
"GO:0050658";"GO:0050658";"RNA transport";"7/7";"161/18888";0,0434782608695652;117,316770186335;28,5390282442605;2,86772242081751e-15;4,41632878760816e-14;1,46350076782337e-14;"NUP107/NUP85/NUP133/NUP205/NUP93/NUP160/NUP37";7
"GO:0051236";"GO:0051236";"establishment of RNA localization";"7/7";"164/18888";0,0426829268292683;115,170731707317;28,2745307653397;3,27135465748752e-15;4,41632878760816e-14;1,46350076782337e-14;"NUP107/NUP85/NUP133/NUP205/NUP93/NUP160/NUP37";7
"GO:0006403";"GO:0006403";"RNA localization";"7/7";"200/18888";0,035;94,44;25,5790510652291;1,34365568524821e-14;1,45114814006807e-13;4,80887297878308e-14;"NUP107/NUP85/NUP133/NUP205/NUP93/NUP160/NUP37";7
"GO:0015931";"GO:0015931";"nucleobase-containing compound transport";"7/7";"231/18888";0,0303030303030303;81,7662337662338;23,7811542506842;3,73773108682926e-14;3,36395797814634e-13;1,11476190308943e-13;"NUP107/NUP85/NUP133/NUP205/NUP93/NUP160/NUP37";7
"GO:0006913";"GO:0006913";"nucleocytoplasmic transport";"7/7";"333/18888";0,021021021021021;56,7207207207207;19,7526958533034;4,9741953604305e-13;3,35758186829058e-12;1,11264896220156e-12;"NUP107/NUP85/NUP133/NUP205/NUP93/NUP160/NUP37";7
"GO:0051169";"GO:0051169";"nuclear transport";"7/7";"333/18888";0,021021021021021;56,7207207207207;19,7526958533034;4,9741953604305e-13;3,35758186829058e-12;1,11264896220156e-12;"NUP107/NUP85/NUP133/NUP205/NUP93/NUP160/NUP37";7
"GO:0006999";"GO:0006999";"nuclear pore organization";"4/7";"15/18888";0,266666666666667;719,542857142857;53,6038335741464;8,99909226380196e-12;5,39945535828118e-11;1,78929319865068e-11;"NUP107/NUP133/NUP205/NUP93";4
"GO:0006406";"GO:0006406";"mRNA export from nucleus";"5/7";"72/18888";0,0694444444444444;187,380952380952;30,5085900080253;1,45879498450688e-11;7,87749291633715e-11;2,61047523543336e-11;"NUP107/NUP85/NUP133/NUP93/NUP160";5
"GO:0006405";"GO:0006405";"RNA export from nucleus";"5/7";"93/18888";0,0537634408602151;145,069124423963;26,8169412198836;5,40859400631658e-11;2,65512796673723e-10;8,79866967534755e-11;"NUP107/NUP85/NUP133/NUP93/NUP160";5
"GO:0051168";"GO:0051168";"nuclear export";"5/7";"171/18888";0,0292397660818713;78,8972431077694;19,7024410482147;1,18710969339106e-09;5,34199362025978e-09;1,77025129716211e-09;"NUP107/NUP85/NUP133/NUP93/NUP160";5
"GO:0051292";"GO:0051292";"nuclear pore complex assembly";"3/7";"10/18888";0,3;809,485714285714;49,2393570711295;3,73618681890765e-09;1,55195452477702e-08;5,14292922440729e-09;"NUP107/NUP205/NUP93";3
"GO:0046931";"GO:0046931";"pore complex assembly";"3/7";"19/18888";0,157894736842105;426,045112781955;35,6907274009127;3,01265870865419e-08;1,16202550190947e-07;3,85076677046024e-08;"NUP107/NUP205/NUP93";3
"GO:0006997";"GO:0006997";"nucleus organization";"4/7";"143/18888";0,027972027972028;75,4765234765235;17,2132432564515;1,08327917908703e-07;3,89980504471332e-07;1,29233305575295e-07;"NUP107/NUP133/NUP205/NUP93";4
"GO:0072006";"GO:0072006";"nephron development";"4/7";"158/18888";0,0253164556962025;68,3110307414105;16,359269608544;1,61789078877334e-07;5,46038141211004e-07;1,80948311902282e-07;"NUP107/NUP85/NUP133/NUP160";4
"GO:0006606";"GO:0006606";"protein import into nucleus";"4/7";"161/18888";0,0248447204968944;67,0381543921917;16,2028635284356;1,74489636601932e-07;5,54261198617901e-07;1,83673301686244e-07;"NUP107/NUP85/NUP133/NUP93";4
"GO:0051170";"GO:0051170";"import into nucleus";"4/7";"166/18888";0,0240963855421687;65,0189328743546;15,9516043146349;1,97294666792956e-07;5,91884000378869e-07;1,96140896811711e-07;"NUP107/NUP85/NUP133/NUP93";4
"GO:0034504";"GO:0034504";"protein localization to nucleus";"4/7";"311/18888";0,0128617363344051;34,7046394120349;11,5398483929318;2,42686703855596e-06;6,89741158326432e-06;2,28569194767044e-06;"NUP107/NUP85/NUP133/NUP93";4
"GO:0001822";"GO:0001822";"kidney development";"4/7";"319/18888";0,0125391849529781;33,8343036274071;11,3879855489753;2,68492327946002e-06;7,24929285454205e-06;2,40229977635896e-06;"NUP107/NUP85/NUP133/NUP160";4
"GO:0072001";"GO:0072001";"renal system development";"4/7";"329/18888";0,0121580547112462;32,8059053408598;11,2058921731938;3,03559560247395e-06;7,80581726350443e-06;2,5867230697773e-06;"NUP107/NUP85/NUP133/NUP160";4
"GO:0072594";"GO:0072594";"establishment of protein localization to organelle";"4/7";"454/18888";0,00881057268722467;23,7734424166142;9,45724918241151;1,08861147984333e-05;2,67204635961544e-05;8,85473452504141e-06;"NUP107/NUP85/NUP133/NUP93";4
"GO:0016973";"GO:0016973";"poly(A)+ mRNA export from nucleus";"2/7";"25/18888";0,08;215,862857142857;20,6987434862801;3,51769433052879e-05;8,25893451515455e-05;2,73687888416428e-05;"NUP133/NUP93";2
"GO:0048339";"GO:0048339";"paraxial mesoderm development";"1/7";"19/18888";0,0526315789473684;142,015037593985;11,8409296209888;0,00702140557183994;0,0157981625366399;0,00523525854040698;"NUP133";1
"GO:0060391";"GO:0060391";"positive regulation of SMAD protein signal transduction";"1/7";"37/18888";0,027027027027027;72,9266409266409;8,43221085623128;0,0136342411857613;0,0294499609612444;0,00975924632243966;"NUP93";1
"GO:0048246";"GO:0048246";"macrophage chemotaxis";"1/7";"40/18888";0,025;67,4571428571429;8,10134335802268;0,0147327021853894;0,0305986891542702;0,0101399164838712;"NUP85";1
"GO:0006998";"GO:0006998";"nuclear envelope organization";"1/7";"55/18888";0,0181818181818182;49,0597402597403;6,87259932161929;0,0202092932800561;0,0404185865601121;0,0133940735189455;"NUP93";1
"GO:1905517";"GO:1905517";"macrophage migration";"1/7";"60/18888";0,0166666666666667;44,9714285714286;6,56843822649649;0,0220290155117659;0,0424845299155486;0,0140786941240609;"NUP85";1
"GO:0030032";"GO:0030032";"lamellipodium assembly";"1/7";"72/18888";0,0138888888888889;37,4761904761905;5,97076646554608;0,0263845337935052;0,049129821546527;0,0162808375495314;"NUP85";1
"GO:0060390";"GO:0060390";"regulation of SMAD protein signal transduction";"1/7";"75/18888";0,0133333333333333;35,9771428571429;5,84391578493187;0,0274708117099053;0,0494474610778295;0,016386098212926;"NUP93";1
