"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0006308";"GO:0006308";"DNA catabolic process";"2/2";"32/18888";0,0625;590,25;34,3301966309561;2,78075494222567e-06;8,89841581512213e-05;NA;"DNASE2/DNASE1";2
"GO:0043353";"GO:0043353";"enucleate erythrocyte differentiation";"1/2";"14/18888";0,0714285714285714;674,571428571429;25,9443141770126;0,00148191252341467;0,0135467616572548;NA;"DNASE2";1
"GO:0070942";"GO:0070942";"neutrophil mediated cytotoxicity";"1/2";"14/18888";0,0714285714285714;674,571428571429;25,9443141770126;0,00148191252341467;0,0135467616572548;NA;"DNASE1";1
"GO:0002283";"GO:0002283";"neutrophil activation involved in immune response";"1/2";"19/18888";0,0526315789473684;497,052631578947;22,2616121210768;0,00201090069392618;0,0135467616572548;NA;"DNASE1";1
"GO:0006309";"GO:0006309";"apoptotic DNA fragmentation";"1/2";"20/18888";0,05;472,2;21,6962082689463;0,00211668150894606;0,0135467616572548;NA;"DNASE2";1
"GO:0030262";"GO:0030262";"apoptotic nuclear changes";"1/2";"31/18888";0,032258064516129;304,645161290323;17,4115488864764;0,00327990045435511;0,0148108838838148;NA;"DNASE2";1
"GO:0006921";"GO:0006921";"cellular component disassembly involved in execution phase of apoptosis";"1/2";"33/18888";0,0303030303030303;286,181818181818;16,8729892734915;0,00349132192537582;0,0148108838838148;NA;"DNASE2";1
"GO:0002446";"GO:0002446";"neutrophil mediated immunity";"1/2";"35/18888";0,0285714285714286;269,828571428571;16,3811998191575;0,0037027209709537;0,0148108838838148;NA;"DNASE1";1
"GO:0042119";"GO:0042119";"neutrophil activation";"1/2";"42/18888";0,0238095238095238;224,857142857143;14,9455707087299;0,00444244103011093;0,0150745785529903;NA;"DNASE1";1
"GO:0002673";"GO:0002673";"regulation of acute inflammatory response";"1/2";"48/18888";0,0208333333333333;196,75;13,9736041270199;0,0050762681470331;0,0150745785529903;NA;"DNASE1";1
"GO:0036230";"GO:0036230";"granulocyte activation";"1/2";"49/18888";0,0204081632653061;192,734693877551;13,8291764099814;0,00518188637759043;0,0150745785529903;NA;"DNASE1";1
"GO:0002886";"GO:0002886";"regulation of myeloid leukocyte mediated immunity";"1/2";"57/18888";0,0175438596491228;165,684210526316;12,8138369547589;0,00602663039306395;0,0160710143815039;NA;"DNASE1";1
"GO:0097194";"GO:0097194";"execution phase of apoptosis";"1/2";"94/18888";0,0106382978723404;100,468085106383;9,9486595240384;0,00992890416928682;0,021021391074504;NA;"DNASE2";1
"GO:0001910";"GO:0001910";"regulation of leukocyte mediated cytotoxicity";"1/2";"96/18888";0,0104166666666667;98,375;9,84290017599691;0,0101396192388503;0,021021391074504;NA;"DNASE1";1
"GO:0002275";"GO:0002275";"myeloid cell activation involved in immune response";"1/2";"97/18888";0,0103092783505155;97,360824742268;9,79124515385523;0,0102449683640914;0,021021391074504;NA;"DNASE1";1
"GO:0002526";"GO:0002526";"acute inflammatory response";"1/2";"109/18888";0,00917431192660551;86,6422018348624;9,22765476078944;0,0115087205708385;0,021021391074504;NA;"DNASE1";1
"GO:0031341";"GO:0031341";"regulation of cell killing";"1/2";"110/18888";0,00909090909090909;85,8545454545454;9,18487567041835;0,0116139968133894;0,021021391074504;NA;"DNASE1";1
"GO:0002444";"GO:0002444";"myeloid leukocyte mediated immunity";"1/2";"112/18888";0,00892857142857143;84,3214285714286;9,10103272133474;0,0118245324794085;0,021021391074504;NA;"DNASE1";1
"GO:0030218";"GO:0030218";"erythrocyte differentiation";"1/2";"135/18888";0,00740740740740741;69,9555555555556;8,27422382113533;0,0142440808099048;0,0231467478483086;NA;"DNASE2";1
"GO:0001909";"GO:0001909";"leukocyte mediated cytotoxicity";"1/2";"144/18888";0,00694444444444444;65,5833333333333;8,0056584945856;0,0151900532754525;0,0231467478483086;NA;"DNASE1";1
"GO:0034101";"GO:0034101";"erythrocyte homeostasis";"1/2";"144/18888";0,00694444444444444;65,5833333333333;8,0056584945856;0,0151900532754525;0,0231467478483086;NA;"DNASE2";1
"GO:0002262";"GO:0002262";"myeloid cell homeostasis";"1/2";"177/18888";0,00564971751412429;53,3559322033898;7,20162537389221;0,0186547337744462;0,0271341582173762;NA;"DNASE2";1
"GO:0001906";"GO:0001906";"cell killing";"1/2";"226/18888";0,00442477876106195;41,787610619469;6,34789722861348;0,0237879961850733;0,0330963425183629;NA;"DNASE1";1
"GO:0002274";"GO:0002274";"myeloid leukocyte activation";"1/2";"241/18888";0,004149377593361;39,1867219917012;6,13964005328939;0,0253567119922994;0,0331255512874706;NA;"DNASE1";1
