"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0035023";"GO:0035023";"regulation of Rho protein signal transduction";"2/2";"89/18888";0,0224719101123595;212,224719101124;20,5541189690425;2,19545087777333e-05;0,00162463364955226;4,62200184794385e-05;"ARHGDIA/KANK2";2
"GO:0007266";"GO:0007266";"Rho protein signal transduction";"2/2";"145/18888";0,0137931034482759;130,262068965517;16,0791114989791;5,85304064452338e-05;0,00216562503847365;6,16109541528777e-05;"ARHGDIA/KANK2";2
"GO:0051056";"GO:0051056";"regulation of small GTPase mediated signal transduction";"2/2";"304/18888";0,00657894736842105;62,1315789473684;11,0575599315698;0,000258206551651502;0,00636909494073706;0,000181197580106318;"ARHGDIA/KANK2";2
"GO:0007264";"GO:0007264";"small GTPase-mediated signal transduction";"2/2";"500/18888";0,004;37,776;8,57647331512464;0,00069939350613438;0,012938779863486;0,000368101845333884;"ARHGDIA/KANK2";2
"GO:0070562";"GO:0070562";"regulation of vitamin D receptor signaling pathway";"1/2";"10/18888";0,1;944,4;30,7074940485805;0,00105862107251131;0,0145473224567181;0,000413864081272208;"KANK2";1
"GO:0070561";"GO:0070561";"vitamin D receptor signaling pathway";"1/2";"12/18888";0,0833333333333333;787;28,0275205741781;0,00127027801068447;0,0145473224567181;0,000413864081272208;"KANK2";1
"GO:0098693";"GO:0098693";"regulation of synaptic vesicle cycle";"1/2";"13/18888";0,0769230769230769;726,461538461538;26,9258290315861;0,00137609807023009;0,0145473224567181;0,000413864081272208;"ARHGDIA";1
"GO:0033147";"GO:0033147";"negative regulation of intracellular estrogen receptor signaling pathway";"1/2";"15/18888";0,0666666666666667;629,6;25,0625947350532;0,00158772137023877;0,0146864226747086;0,000417821413220729;"KANK2";1
"GO:0071305";"GO:0071305";"cellular response to vitamin D";"1/2";"22/18888";0,0454545454545455;429,272727272727;20,6832289698362;0,00232822631990359;0,019143194185874;0,000544614343837098;"KANK2";1
"GO:0032104";"GO:0032104";"regulation of response to extracellular stimulus";"1/2";"28/18888";0,0357142857142857;337,285714285714;18,3249621076493;0,00296272620011817;0,0193095481160339;0,000549347030328135;"KANK2";1
