"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0007159";"GO:0007159";"leukocyte cell-cell adhesion";"13/25";"419/18888";0,0310262529832936;23,4409546539379;16,9111351807313;1,07006478287641e-15;1,28514780423457e-12;5,36158775420179e-13;"IL23R/PTPN22/FOXP3/GATA3/HLA-DRB1/HLA-DPA1/IL10/TNIP1/TNFSF4/SOCS1/ETS1/HLA-DPB1/CTLA4";13
"GO:0022407";"GO:0022407";"regulation of cell-cell adhesion";"13/25";"496/18888";0,0262096774193548;19,801935483871;15,448098480239;9,43003402456408e-15;5,18504127654312e-12;2,16317949746661e-12;"IL23R/PTPN22/FOXP3/GATA3/HLA-DRB1/HLA-DPA1/IL10/TNFSF4/SOCS1/ETS1/HLA-DPB1/CTLA4/JAK1";13
"GO:1903037";"GO:1903037";"regulation of leukocyte cell-cell adhesion";"12/25";"382/18888";0,031413612565445;23,733612565445;16,3414266524389;1,6189139034633e-14;5,18504127654312e-12;2,16317949746661e-12;"IL23R/PTPN22/FOXP3/GATA3/HLA-DRB1/HLA-DPA1/IL10/TNFSF4/SOCS1/ETS1/HLA-DPB1/CTLA4";12
"GO:0032609";"GO:0032609";"type II interferon production";"9/25";"119/18888";0,0756302521008403;57,1401680672269;22,365197318262;2,15863500272403e-14;5,18504127654312e-12;2,16317949746661e-12;"IL23R/PTPN22/FOXP3/GATA3/HLA-DRB1/HLA-DPA1/IL10/TNFSF4/HLA-DPB1";9
"GO:0032649";"GO:0032649";"regulation of type II interferon production";"9/25";"119/18888";0,0756302521008403;57,1401680672269;22,365197318262;2,15863500272403e-14;5,18504127654312e-12;2,16317949746661e-12;"IL23R/PTPN22/FOXP3/GATA3/HLA-DRB1/HLA-DPA1/IL10/TNFSF4/HLA-DPB1";9
"GO:0022409";"GO:0022409";"positive regulation of cell-cell adhesion";"11/25";"325/18888";0,0338461538461538;25,5714461538462;16,2665116265492;1,18940959941827e-13;2,3808015481689e-11;9,93261349689639e-12;"IL23R/FOXP3/GATA3/HLA-DRB1/HLA-DPA1/IL10/TNFSF4/SOCS1/ETS1/HLA-DPB1/JAK1";11
"GO:1903131";"GO:1903131";"mononuclear cell differentiation";"12/25";"484/18888";0,0247933884297521;18,7319008264463;14,386924824207;2,69149353625661e-13;4,2052016342808e-11;1,75439412587551e-11;"IL23R/STAT4/PTPN22/FOXP3/GATA3/HLA-DRB1/HLA-B/IL10/TNFSF4/SOCS1/CTLA4/JAK1";12
"GO:0043367";"GO:0043367";"CD4-positive, alpha-beta T cell differentiation";"8/25";"94/18888";0,0851063829787234;64,2995744680851;22,39758627416;2,80113347828862e-13;4,2052016342808e-11;1,75439412587551e-11;"IL23R/STAT4/FOXP3/GATA3/HLA-DRB1/TNFSF4/SOCS1/JAK1";8
"GO:0050863";"GO:0050863";"regulation of T cell activation";"11/25";"382/18888";0,0287958115183246;21,7558115183246;14,9197392434715;6,94079860226224e-13;8,77082496441414e-11;3,65915481227147e-11;"IL23R/PTPN22/FOXP3/GATA3/HLA-DRB1/HLA-DPA1/IL10/TNFSF4/SOCS1/HLA-DPB1/CTLA4";11
"GO:0070663";"GO:0070663";"regulation of leukocyte proliferation";"10/25";"267/18888";0,0374531835205993;28,2966292134831;16,3534453236362;7,30293502449137e-13;8,77082496441414e-11;3,65915481227147e-11;"IL23R/PTPN22/FOXP3/HLA-DRB1/HLA-DPA1/IL10/TNFSF4/HLA-DPB1/TNFAIP3/CTLA4";10
"GO:0035710";"GO:0035710";"CD4-positive, alpha-beta T cell activation";"8/25";"120/18888";0,0666666666666667;50,368;19,7502806440664;2,07071232582687e-12;2,2608413666528e-10;9,4321441827138e-11;"IL23R/STAT4/FOXP3/GATA3/HLA-DRB1/TNFSF4/SOCS1/JAK1";8
"GO:0030098";"GO:0030098";"lymphocyte differentiation";"11/25";"432/18888";0,025462962962963;19,2377777777778;13,9601830982649;2,63857374844647e-12;2,64077255990351e-10;1,10172026689519e-10;"IL23R/STAT4/PTPN22/FOXP3/GATA3/HLA-DRB1/IL10/TNFSF4/SOCS1/CTLA4/JAK1";11
"GO:0046632";"GO:0046632";"alpha-beta T cell differentiation";"8/25";"125/18888";0,064;48,35328;19,3374874931606;2,8868925996562e-12;2,66704462475931e-10;1,1126808724181e-10;"IL23R/STAT4/FOXP3/GATA3/HLA-DRB1/TNFSF4/SOCS1/JAK1";8
