stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000354612	9606.ENSP00000244043	PTGS1	PTGIS	9606	0.973	0	0	0	0.059	0.322	0.9	0.633
9606.ENSP00000354612	9606.ENSP00000342385	PTGS1	PTGES	9606	0.973	0	0	0	0	0	0.9	0.741
9606.ENSP00000354612	9606.ENSP00000363512	PTGS1	ALOX5	9606	0.97	0	0	0	0.13	0	0.9	0.692
9606.ENSP00000354612	9606.ENSP00000345341	PTGS1	PTGES2	9606	0.962	0	0	0	0	0	0.9	0.635
9606.ENSP00000354612	9606.ENSP00000293761	PTGS1	ALOX15	9606	0.96	0	0	0	0.068	0.046	0.9	0.607
9606.ENSP00000354612	9606.ENSP00000251535	PTGS1	ALOX12	9606	0.96	0	0	0	0.201	0	0.9	0.544
9606.ENSP00000354612	9606.ENSP00000482075	PTGS1	PTGES3	9606	0.956	0	0	0	0	0	0.9	0.579
9606.ENSP00000354612	9606.ENSP00000360687	PTGS1	PTGDS	9606	0.949	0	0	0	0.054	0	0.9	0.51
9606.ENSP00000354612	9606.ENSP00000295256	PTGS1	HPGDS	9606	0.946	0	0	0	0.083	0	0.9	0.462
9606.ENSP00000354612	9606.ENSP00000356438	PTGS1	PTGS2	9606	0.946	0	0	0.057	0.157	0.292	0.9	0.192
9606.ENSP00000354612	9606.ENSP00000369530	PTGS1	ALOX15B	9606	0.939	0	0	0	0.055	0.046	0.9	0.406
9606.ENSP00000354612	9606.ENSP00000260682	PTGS1	CYP2C9	9606	0.936	0	0	0	0.056	0	0.9	0.379
9606.ENSP00000354612	9606.ENSP00000360372	PTGS1	CYP2C19	9606	0.935	0	0	0	0.056	0	0.9	0.369
9606.ENSP00000354612	9606.ENSP00000440689	PTGS1	CYP2E1	9606	0.921	0	0	0	0.056	0	0.9	0.239
9606.ENSP00000354612	9606.ENSP00000497784	PTGS1	ALOX12B	9606	0.92	0	0	0	0.055	0.046	0.9	0.221
9606.ENSP00000354612	9606.ENSP00000360317	PTGS1	CYP2C8	9606	0.92	0	0	0	0.056	0	0.9	0.22
9606.ENSP00000354612	9606.ENSP00000324648	PTGS1	CYP2B6	9606	0.918	0	0	0	0.056	0	0.9	0.208
9606.ENSP00000354612	9606.ENSP00000311095	PTGS1	CYP4A11	9606	0.915	0	0	0	0.056	0	0.9	0.175
9606.ENSP00000354612	9606.ENSP00000356436	PTGS1	PLA2G4A	9606	0.914	0	0	0.345	0.15	0	0.65	0.614
9606.ENSP00000354612	9606.ENSP00000221700	PTGS1	CYP4F2	9606	0.914	0	0	0	0.056	0	0.9	0.165
9606.ENSP00000354612	9606.ENSP00000221307	PTGS1	CYP4F3	9606	0.913	0	0	0	0.056	0	0.9	0.154
9606.ENSP00000354612	9606.ENSP00000360247	PTGS1	CYP2J2	9606	0.912	0	0	0	0.056	0	0.9	0.148
9606.ENSP00000354612	9606.ENSP00000477567	PTGS1	CYP4F8	9606	0.909	0	0	0	0.056	0	0.9	0.121
9606.ENSP00000354612	9606.ENSP00000360958	PTGS1	CYP4A22	9606	0.904	0	0	0	0.056	0	0.9	0.073
9606.ENSP00000354612	9606.ENSP00000333212	PTGS1	CYP2U1	9606	0.902	0	0	0	0.056	0	0.9	0.052
9606.ENSP00000354612	9606.ENSP00000354554	PTGS1	MT-CYB	9606	0.896	0	0	0	0	0	0	0.896
9606.ENSP00000354612	9606.ENSP00000354961	PTGS1	MT-ND4	9606	0.888	0	0	0	0	0	0	0.888
9606.ENSP00000354612	9606.ENSP00000354728	PTGS1	MT-ND4L	9606	0.885	0	0	0	0	0	0	0.885
9606.ENSP00000354612	9606.ENSP00000355206	PTGS1	MT-ND3	9606	0.884	0	0	0	0	0	0	0.884
9606.ENSP00000354612	9606.ENSP00000354632	PTGS1	MT-ATP6	9606	0.884	0	0	0	0	0	0	0.884
